S,G,D,start,stop,asymptote
2,2,2,0.0,0.6666666666666655,0.6666666666666655
4,2,2,0.0,0.39999999999999947,0.39999999999999947
6,2,2,0.0,0.2857142857142844,0.2857142857142844
8,2,2,0.0,0.2222222222222223,0.2222222222222223
10,2,2,0.0,0.18181818181818096,0.18181818181818096
12,2,2,0.0,0.15384615384615347,0.15384615384615347
14,2,2,0.0,0.13333333333333244,0.13333333333333244
2,4,2,0.0,0.39999999999999947,0.39999999999999947
4,4,2,0.0,,0.0
6,4,2,0.0,,0.0
8,4,2,0.0,,0.0
10,4,2,0.0,,0.0
12,4,2,0.0,,0.0
14,4,2,0.0,,0.0
2,6,2,0.0,0.2857142857142844,0.2857142857142844
4,6,2,0.0,,0.0
6,6,2,0.0,,0.0
8,6,2,0.0,,0.0
10,6,2,0.0,,0.0
12,6,2,0.0,,0.0
14,6,2,0.0,,0.0
2,8,2,0.0,0.2222222222222223,0.2222222222222223
4,8,2,0.0,,0.0
6,8,2,0.0,,0.0
8,8,2,0.0,,0.0
10,8,2,0.0,,0.0
12,8,2,0.0,,0.0
14,8,2,0.0,,0.0
2,10,2,0.0,0.18181818181818096,0.18181818181818096
4,10,2,0.0,,0.0
6,10,2,0.0,,0.0
8,10,2,0.0,,0.0
10,10,2,0.0,,0.0
12,10,2,0.0,,0.0
14,10,2,0.0,,0.0
2,12,2,0.0,0.15384615384615347,0.15384615384615347
4,12,2,0.0,,0.0
6,12,2,0.0,,0.0
8,12,2,0.0,,0.0
10,12,2,0.0,,0.0
12,12,2,0.0,,0.0
14,12,2,0.0,,0.0
2,14,2,0.0,0.13333333333333244,0.13333333333333244
4,14,2,0.0,,0.0
6,14,2,0.0,,0.0
8,14,2,0.0,,0.0
10,14,2,0.0,,0.0
12,14,2,0.0,,0.0
14,14,2,0.0,,0.0
2,2,4,0.0,0.7914069985597996,0.7914069985597996
4,2,4,0.0,0.9490382358101637,0.9490382358101637
6,2,4,0.0,0.940698587547862,0.940698587547862
8,2,4,0.0,0.9350952398622339,0.9350952398622339
10,2,4,0.0,0.9312927900152128,0.9312927900152128
12,2,4,0.0,0.9285719594823303,0.9285719594823303
14,2,4,0.0,0.9265359358096434,0.9265359358096434
2,4,4,0.0,0.9490382358101637,0.9490382358101637
4,4,4,0.0,0.7601979045988287,0.7601979045988287
6,4,4,0.0,0.6160752893990753,0.6160752893990753
8,4,4,0.0,0.5145643042204165,0.5145643042204165
10,4,4,0.0,0.44077104503756914,0.44077104503756914
12,4,4,0.0,0.3851001402891168,0.3851001402891168
14,4,4,0.0,0.3417386139600888,0.3417386139600888
2,6,4,0.0,0.940698587547862,0.940698587547862
4,6,4,0.0,0.6160752893990753,0.6160752893990753
6,6,4,0.0,0.3014419759664432,0.3014419759664432
8,6,4,0.0,0.04808108996278209,0.04808108996278209
10,6,4,0.0,,0.0
12,6,4,0.0,,0.0
14,6,4,0.0,,0.0
2,8,4,0.0,0.9350952398622339,0.9350952398622339
4,8,4,0.0,0.5145643042204165,0.5145643042204165
6,8,4,0.0,0.04808108996278209,0.04808108996278209
8,8,4,0.0,,0.0
10,8,4,0.0,,0.0
12,8,4,0.0,,0.0
14,8,4,0.0,,0.0
2,10,4,0.0,0.9312927900152128,0.9312927900152128
4,10,4,0.0,0.44077104503756914,0.44077104503756914
6,10,4,0.0,,0.0
8,10,4,0.0,,0.0
10,10,4,0.0,,0.0
12,10,4,0.0,,0.0
14,10,4,0.0,,0.0
2,12,4,0.0,0.9285719594823303,0.9285719594823303
4,12,4,0.0,0.3851001402891168,0.3851001402891168
6,12,4,0.0,,0.0
8,12,4,0.0,,0.0
10,12,4,0.0,,0.0
12,12,4,0.0,,0.0
14,12,4,0.0,,0.0
2,14,4,0.0,0.9265359358096434,0.9265359358096434
4,14,4,0.0,0.3417386139600888,0.3417386139600888
6,14,4,0.0,,0.0
8,14,4,0.0,,0.0
10,14,4,0.0,,0.0
12,14,4,0.0,,0.0
14,14,4,0.0,,0.0
2,2,8,0.0,,0.0
4,2,8,0.0,0.9637200090623782,0.9637200090623782
6,2,8,0.0,0.9972051595891162,0.9972051595891162
8,2,8,0.0,0.9972489420696349,0.9972489420696349
10,2,8,0.0,0.9971260431547904,0.9971260431547904
12,2,8,0.0,0.997002277978686,0.997002277978686
14,2,8,0.0,0.9968958817213633,0.9968958817213633
2,4,8,0.0,0.9637200090623782,0.9637200090623782
4,4,8,0.0,0.9775332957704358,0.9775332957704358
6,4,8,0.0,0.9585188784281611,0.9585188784281611
8,4,8,0.0,0.9433691914553111,0.9433691914553111
10,4,8,0.0,0.9316650234568016,0.9316650234568016
12,4,8,0.0,0.9225078776754181,0.9225078776754181
14,4,8,0.0,0.9152004794402501,0.9152004794402501
2,6,8,0.0,0.9972051595891162,0.9972051595891162
4,6,8,0.0,0.9585188784281611,0.9585188784281611
6,6,8,0.0,0.9071354379459584,0.9071354379459584
8,6,8,0.0,0.8611704114879251,0.8611704114879251
10,6,8,0.0,0.8228472703543103,0.8228472703543103
12,6,8,0.0,0.7912056509308452,0.7912056509308452
14,6,8,0.0,0.7649225497010469,0.7649225497010469
2,8,8,0.0,0.9972489420696349,0.9972489420696349
4,8,8,0.0,0.9433691914553111,0.9433691914553111
6,8,8,0.0,0.8611704114879251,0.8611704114879251
8,8,8,0.0,0.7811857590749927,0.7811857590749927
10,8,8,0.0,0.7104992380008365,0.7104992380008365
12,8,8,0.0,0.6495704514844218,0.6495704514844218
14,8,8,0.0,0.5972528568204343,0.5972528568204343
2,10,8,0.0,0.9971260431547904,0.9971260431547904
4,10,8,0.0,0.9316650234568016,0.9316650234568016
6,10,8,0.0,0.8228472703543103,0.8228472703543103
8,10,8,0.0,0.7104992380008365,0.7104992380008365
10,10,8,0.0,0.606782070998628,0.606782070998628
12,10,8,0.0,0.5143263350467697,0.5143263350467697
14,10,8,0.0,0.43278791911817555,0.43278791911817555
2,12,8,0.0,0.997002277978686,0.997002277978686
4,12,8,0.0,0.9225078776754181,0.9225078776754181
6,12,8,0.0,0.7912056509308452,0.7912056509308452
8,12,8,0.0,0.6495704514844218,0.6495704514844218
10,12,8,0.0,0.5143263350467697,0.5143263350467697
12,12,8,0.0,0.3904887153282195,0.3904887153282195
14,12,8,0.0,0.278862111985378,0.278862111985378
2,14,8,0.0,0.9968958817213633,0.9968958817213633
4,14,8,0.0,0.9152004794402501,0.9152004794402501
6,14,8,0.0,0.7649225497010469,0.7649225497010469
8,14,8,0.0,0.5972528568204343,0.5972528568204343
10,14,8,0.0,0.43278791911817555,0.43278791911817555
12,14,8,0.0,0.278862111985378,0.278862111985378
14,14,8,0.0,0.13757061881311305,0.13757061881311305
2,2,16,0.0,,0.0
4,2,16,0.0,0.10894393375141734,0.10894393375141734
6,2,16,0.0,0.5169960176849863,0.5169960176849863
8,2,16,0.0,0.9980028938535129,0.9980028938535129
10,2,16,0.0,0.9999858593234204,0.9999858593234204
12,2,16,0.0,0.9999886209103546,0.9999886209103546
14,2,16,0.0,0.9999891201815374,0.9999891201815374
2,4,16,0.0,0.10894393375141734,0.10894393375141734
4,4,16,0.0,0.9840295986360519,0.9840295986360519
6,4,16,0.0,0.9983523761753048,0.9983523761753048
8,4,16,0.0,0.9975908655724262,0.9975908655724262
10,4,16,0.0,0.9968355116795649,0.9968355116795649
12,4,16,0.0,0.9961663117953119,0.9961663117953119
14,4,16,0.0,0.9955881948576153,0.9955881948576153
2,6,16,0.0,0.5169960176849863,0.5169960176849863
4,6,16,0.0,0.9983523761753048,0.9983523761753048
6,6,16,0.0,0.9945524179873777,0.9945524179873777
8,6,16,0.0,0.9898833246843435,0.9898833246843435
10,6,16,0.0,0.9853080955661118,0.9853080955661118
12,6,16,0.0,0.9811465285450631,0.9811465285450631
14,6,16,0.0,0.9774603321370963,0.9774603321370963
2,8,16,0.0,0.9980028938535129,0.9980028938535129
4,8,16,0.0,0.9975908655724262,0.9975908655724262
6,8,16,0.0,0.9898833246843435,0.9898833246843435
8,8,16,0.0,0.9796204559733162,0.9796204559733162
10,8,16,0.0,0.969021546685914,0.969021546685914
12,8,16,0.0,0.9590095763213431,0.9590095763213431
14,8,16,0.0,0.9498811856686972,0.9498811856686972
2,10,16,0.0,0.9999858593234204,0.9999858593234204
4,10,16,0.0,0.9968355116795649,0.9968355116795649
6,10,16,0.0,0.9853080955661118,0.9853080955661118
8,10,16,0.0,0.969021546685914,0.969021546685914
10,10,16,0.0,0.9515094000290059,0.9515094000290059
12,10,16,0.0,0.9344539501646988,0.9344539501646988
14,10,16,0.0,0.9185222860878142,0.9185222860878142
2,12,16,0.0,0.9999886209103546,0.9999886209103546
4,12,16,0.0,0.9961663117953119,0.9961663117953119
6,12,16,0.0,0.9811465285450631,0.9811465285450631
8,12,16,0.0,0.9590095763213431,0.9590095763213431
10,12,16,0.0,0.9344539501646988,0.9344539501646988
12,12,16,0.0,0.9099418744067275,0.9099418744067275
14,12,16,0.0,0.8865790158477587,0.8865790158477587
2,14,16,0.0,0.9999891201815374,0.9999891201815374
4,14,16,0.0,0.9955881948576153,0.9955881948576153
6,14,16,0.0,0.9774603321370963,0.9774603321370963
8,14,16,0.0,0.9498811856686972,0.9498811856686972
10,14,16,0.0,0.9185222860878142,0.9185222860878142
12,14,16,0.0,0.8865790158477587,0.8865790158477587
14,14,16,0.0,0.8556139611132897,0.8556139611132897
2,2,32,0.0,,0.0
4,2,32,0.0,,0.0
6,2,32,0.0,0.03520924306492896,0.03520924306492896
8,2,32,0.0,0.18136485279301673,0.18136485279301673
10,2,32,0.0,0.34316612963087334,0.34316612963087334
12,2,32,0.0,0.5338067419784687,0.5338067419784687
14,2,32,0.0,0.7538713738084828,0.7538713738084828
2,4,32,0.0,,0.0
4,4,32,0.0,0.16658084420080138,0.16658084420080138
6,4,32,0.0,0.5325068820421346,0.5325068820421346
8,4,32,0.0,0.9982768039712423,0.9982768039712423
10,4,32,0.0,0.9999827501362557,0.9999827501362557
12,4,32,0.0,0.9999813811742932,0.9999813811742932
14,4,32,0.0,0.9999781148959459,0.9999781148959459
2,6,32,0.0,0.03520924306492896,0.03520924306492896
4,6,32,0.0,0.5325068820421346,0.5325068820421346
6,6,32,0.0,0.9999229174692255,0.9999229174692255
8,6,32,0.0,0.9998775021712709,0.9998775021712709
10,6,32,0.0,0.9997842958064465,0.9997842958064465
12,6,32,0.0,0.9996737630407898,0.9996737630407898
14,6,32,0.0,0.9995571582652911,0.9995571582652911
2,8,32,0.0,0.18136485279301673,0.18136485279301673
4,8,32,0.0,0.9982768039712423,0.9982768039712423
6,8,32,0.0,0.9998775021712709,0.9998775021712709
8,8,32,0.0,0.9996100105883842,0.9996100105883842
10,8,32,0.0,0.9991971115218445,0.9991971115218445
12,8,32,0.0,0.9986959168398742,0.9986959168398742
14,8,32,0.0,0.9981547015863084,0.9981547015863084
2,10,32,0.0,0.34316612963087334,0.34316612963087334
4,10,32,0.0,0.9999827501362557,0.9999827501362557
6,10,32,0.0,0.9997842958064465,0.9997842958064465
8,10,32,0.0,0.9991971115218445,0.9991971115218445
10,10,32,0.0,0.9982445992773097,0.9982445992773097
12,10,32,0.0,0.9970526118652505,0.9970526118652505
14,10,32,0.0,0.9957378637393653,0.9957378637393653
2,12,32,0.0,0.5338067419784687,0.5338067419784687
4,12,32,0.0,0.9999813811742932,0.9999813811742932
6,12,32,0.0,0.9996737630407898,0.9996737630407898
8,12,32,0.0,0.9986959168398742,0.9986959168398742
10,12,32,0.0,0.9970526118652505,0.9970526118652505
12,12,32,0.0,0.9949491341562117,0.9949491341562117
14,12,32,0.0,0.9925898023180825,0.9925898023180825
2,14,32,0.0,0.7538713738084828,0.7538713738084828
4,14,32,0.0,0.9999781148959459,0.9999781148959459
6,14,32,0.0,0.9995571582652911,0.9995571582652911
8,14,32,0.0,0.9981547015863084,0.9981547015863084
10,14,32,0.0,0.9957378637393653,0.9957378637393653
12,14,32,0.0,0.9925898023180825,0.9925898023180825
14,14,32,0.0,0.9890100350863031,0.9890100350863031
2,2,64,0.0,,0.0
4,2,64,0.0,,0.0
6,2,64,0.0,,0.0
8,2,64,0.0,,0.0
10,2,64,0.0,0.024162052433805602,0.024162052433805602
12,2,64,0.0,0.0762056722373732,0.0762056722373732
14,2,64,0.0,0.13234405465937407,0.13234405465937407
2,4,64,0.0,,0.0
4,4,64,0.0,,0.0
6,4,64,0.0,0.061277975086053524,0.061277975086053524
8,4,64,0.0,0.19276206250465072,0.19276206250465072
10,4,64,0.0,0.3507344960167456,0.3507344960167456
12,4,64,0.0,0.539779722347546,0.539779722347546
14,4,64,0.0,0.7574247683873367,0.7574247683873367
2,6,64,0.0,,0.0
4,6,64,0.0,0.061277975086053524,0.061277975086053524
6,6,64,0.0,0.26705903871932024,0.26705903871932024
8,6,64,0.0,0.5397205435402985,0.5397205435402985
10,6,64,0.0,0.8758012052437723,0.8758012052437723
12,6,64,0.0,0.9999997061154214,0.9999997061154214
14,6,64,0.0,0.9999996867925725,0.9999996867925725
2,8,64,0.0,,0.0
4,8,64,0.0,0.19276206250465072,0.19276206250465072
6,8,64,0.0,0.5397205435402985,0.5397205435402985
8,8,64,0.0,0.9997223023631605,0.9997223023631605
10,8,64,0.0,0.9999988544519652,0.9999988544519652
12,8,64,0.0,0.9999977757552754,0.9999977757552754
14,8,64,0.0,0.9999960491009361,0.9999960491009361
2,10,64,0.0,0.024162052433805602,0.024162052433805602
4,10,64,0.0,0.3507344960167456,0.3507344960167456
6,10,64,0.0,0.8758012052437723,0.8758012052437723
8,10,64,0.0,0.9999988544519652,0.9999988544519652
10,10,64,0.0,0.9999961384503814,0.9999961384503814
12,10,64,0.0,0.999990359516789,0.999990359516789
14,10,64,0.0,0.9999810716533581,0.9999810716533581
2,12,64,0.0,0.0762056722373732,0.0762056722373732
4,12,64,0.0,0.539779722347546,0.539779722347546
6,12,64,0.0,0.9999997061154214,0.9999997061154214
8,12,64,0.0,0.9999977757552754,0.9999977757552754
10,12,64,0.0,0.999990359516789,0.999990359516789
12,12,64,0.0,0.9999737899907585,0.9999737899907585
14,12,64,0.0,0.9999462675960906,0.9999462675960906
2,14,64,0.0,0.13234405465937407,0.13234405465937407
4,14,64,0.0,0.7574247683873367,0.7574247683873367
6,14,64,0.0,0.9999996867925725,0.9999996867925725
8,14,64,0.0,0.9999960491009361,0.9999960491009361
10,14,64,0.0,0.9999810716533581,0.9999810716533581
12,14,64,0.0,0.9999462675960906,0.9999462675960906
14,14,64,0.0,0.9998871448379485,0.9998871448379485
