S,D,c,dc
10,10,0.0,0.0
10,10,0.001,0.0007343422130065282
10,10,0.002,0.0014660059187328184
10,10,0.003,0.0021949950241647387
10,10,0.004,0.0029213134313178842
10,10,0.005,0.0036449650372430012
10,10,0.006,0.004365953734031397
10,10,0.007,0.005084283408820397
10,10,0.008,0.00579995794379864
10,10,0.009,0.006512981216211643
10,10,0.01,0.007223357098367059
10,10,0.011,0.007931089457640112
10,10,0.012,0.008636182156478992
10,10,0.013,0.009338639052410303
10,10,0.014,0.0100384639980443
10,10,0.015,0.01073566084108037
10,10,0.016,0.011430233424312354
10,10,0.017,0.012122185585633966
10,10,0.018,0.012811521158043977
10,10,0.019,0.013498243969651848
10,10,0.02,0.01418235784368287
10,10,0.021,0.014863866598483561
10,10,0.022,0.015542774047526985
10,10,0.023,0.01621908399941816
10,10,0.024,0.016892800257899312
10,10,0.025,0.017563926621855235
10,10,0.026,0.018232466885318526
10,10,0.027,0.018898424837475083
10,10,0.028,0.019561804262669225
10,10,0.029,0.020222608940409083
10,10,0.03,0.020880842645371926
10,10,0.031,0.021536509147409365
10,10,0.032,0.022189612211552794
10,10,0.033,0.022840155598018434
10,10,0.034,0.023488143062212793
10,10,0.035,0.02413357835473806
10,10,0.036,0.024776465221397058
10,10,0.037,0.025416807403198752
10,10,0.038,0.026054608636363323
10,10,0.039,0.026689872652327605
10,10,0.04,0.02732260317775039
10,10,0.041,0.027952803934517288
10,10,0.042,0.028580478639746464
10,10,0.043,0.029205631005793445
10,10,0.044,0.029828264740256752
10,10,0.045,0.030448383545982685
10,10,0.046,0.031065991121070946
10,10,0.047,0.03168109115887975
10,10,0.048,0.032293687348030745
10,10,0.049,0.032903783372414674
10,10,0.05,0.03351138291119622
10,10,0.051,0.034116489638819476
10,10,0.052,0.03471910722501292
10,10,0.053,0.03531923933479467
10,10,0.054,0.03591688962847767
10,10,0.055,0.03651206176167512
10,10,0.056,0.037104759385305074
10,10,0.057,0.03769498614559622
10,10,0.058,0.038282745684092616
10,10,0.059,0.03886804163765922
10,10,0.06,0.03945087763848658
10,10,0.061,0.04003125731409647
10,10,0.062,0.0406091842873466
10,10,0.063,0.04118466217643625
10,10,0.064,0.04175769459491083
10,10,0.065,0.04232828515166756
10,10,0.066,0.04289643745096022
10,10,0.067,0.04346215509240435
10,10,0.068,0.044025441670982574
10,10,0.069,0.044586300777049434
10,10,0.07,0.04514473599633663
10,10,0.071,0.04570075090995815
10,10,0.072,0.046254349094415365
10,10,0.073,0.04680553412160213
10,10,0.074,0.04735430955880958
10,10,0.075,0.04790067896873186
10,10,0.076,0.04844464590947051
10,10,0.077,0.04898621393454004
10,10,0.078,0.04952538659287263
10,10,0.079,0.05006216742882351
10,10,0.08,0.05059655998217595
10,10,0.081,0.051128567788146104
10,10,0.082,0.05165819437738829
10,10,0.083,0.052185443275999874
10,10,0.084,0.0527103180055266
10,10,0.085,0.053232822082967104
10,10,0.086,0.05375295902077873
10,10,0.087,0.05427073232688165
10,10,0.088,0.05478614550466465
10,10,0.089,0.055299202052989826
10,10,0.09,0.05580990546619724
10,10,0.091,0.056318259234110796
10,10,0.092,0.0568242668420425
10,10,0.093,0.05732793177079784
10,10,0.094,0.05782925749668044
10,10,0.095,0.058328247491497426
10,10,0.096,0.05882490522256431
10,10,0.097,0.05931923415270998
10,10,0.098,0.059811237740281215
10,10,0.099,0.06030091943914867
10,10,0.1,0.0607882826987107
10,10,0.101,0.06127333096389914
10,10,0.102,0.06175606767518392
10,10,0.103,0.062236496268578176
10,10,0.104,0.06271462017564315
10,10,0.105,0.06319044282349266
10,10,0.106,0.06366396763479919
10,10,0.107,0.0641351980277974
10,10,0.108,0.06460413741629036
10,10,0.109,0.06507078920965374
10,10,0.11,0.06553515681284054
10,10,0.111,0.06599724362638666
10,10,0.112,0.0664570530464156
10,10,0.113,0.06691458846464325
10,10,0.114,0.06736985326838259
10,10,0.115,0.06782285084054886
10,10,0.116,0.06827358455966483
10,10,0.117,0.06872205779986472
10,10,0.118,0.0691682739309003
10,10,0.119,0.0696122363181442
10,10,0.12,0.07005394832259662
10,10,0.121,0.07049341330088882
10,10,0.122,0.07093063460528864
10,10,0.123,0.07136561558370505
10,10,0.124,0.07179835957969341
10,10,0.125,0.07222886993245972
10,10,0.126,0.07265714997686593
10,10,0.127,0.07308320304343471
10,10,0.128,0.07350703245835433
10,10,0.129,0.0739286415434833
10,10,0.13,0.07434803361635542
10,10,0.131,0.07476521199018438
10,10,0.132,0.07518017997386889
10,10,0.133,0.0755929408719972
10,10,0.134,0.07600349798485168
10,10,0.135,0.07641185460841488
10,10,0.136,0.07681801403437274
10,10,0.137,0.07722197955012025
10,10,0.138,0.07762375443876621
10,10,0.139,0.07802334197913757
10,10,0.14,0.07842074544578487
10,10,0.141,0.07881596810898694
10,10,0.142,0.0792090132347548
10,10,0.143,0.07959988408483756
10,10,0.144,0.0799885839167265
10,10,0.145,0.08037511598366023
10,10,0.146,0.08075948353462897
10,10,0.147,0.08114168981437989
10,10,0.148,0.08152173806342142
10,10,0.149,0.08189963151802818
10,10,0.15,0.08227537341024585
10,10,0.151,0.08264896696789531
10,10,0.152,0.08302041541457844
10,10,0.153,0.08338972196968167
10,10,0.154,0.08375688984838156
10,10,0.155,0.0841219222616493
10,10,0.156,0.0844848224162551
10,10,0.157,0.08484559351477344
10,10,0.158,0.08520423875558705
10,10,0.159,0.08556076133289248
10,10,0.16,0.0859151644367043
10,10,0.161,0.08626745125285984
10,10,0.162,0.08661762496302378
10,10,0.163,0.08696568874469296
10,10,0.164,0.08731164577120173
10,10,0.165,0.08765549921172464
10,10,0.166,0.08799725223128355
10,10,0.167,0.0883369079907512
10,10,0.168,0.08867446964685508
10,10,0.169,0.08900994035218321
10,10,0.17,0.08934332325518898
10,10,0.171,0.08967462150019459
10,10,0.172,0.09000383822739672
10,10,0.173,0.09033097657287081
10,10,0.174,0.09065603966857555
10,10,0.175,0.09097903064235824
10,10,0.176,0.09129995261795792
10,10,0.177,0.09161880871501177
10,10,0.178,0.09193560204905848
10,10,0.179,0.09225033573154356
10,10,0.18,0.0925630128698236
10,10,0.181,0.09287363656717063
10,10,0.182,0.09318220992277765
10,10,0.183,0.093488736031762
10,10,0.184,0.09379321798517115
10,10,0.185,0.09409565886998639
10,10,0.186,0.09439606176912807
10,10,0.187,0.09469442976145925
10,10,0.188,0.09499076592179151
10,10,0.189,0.0952850733208887
10,10,0.19,0.0955773550254716
10,10,0.191,0.09586761409822275
10,10,0.192,0.09615585359779077
10,10,0.193,0.09644207657879522
10,10,0.194,0.09672628609183054
10,10,0.195,0.09700848518347133
10,10,0.196,0.09728867689627635
10,10,0.197,0.09756686426879341
10,10,0.198,0.09784305033556356
10,10,0.199,0.09811723812712647
10,10,0.2,0.09838943067002309
10,10,0.201,0.0986596309868027
10,10,0.202,0.09892784209602545
10,10,0.203,0.09919406701226713
10,10,0.204,0.09945830874612491
10,10,0.205,0.09972057030422063
10,10,0.206,0.09998085468920612
10,10,0.207,0.10023916489976628
10,10,0.208,0.10049550393062548
10,10,0.209,0.10074987477255096
10,10,0.21,0.10100228041235718
10,10,0.211,0.10125272383291059
10,10,0.212,0.10150120801313453
10,10,0.213,0.1017477359280132
10,10,0.214,0.10199231054859578
10,10,0.215,0.1022349348420016
10,10,0.216,0.10247561177142464
10,10,0.217,0.10271434429613738
10,10,0.218,0.102951135371495
10,10,0.219,0.10318598794894132
10,10,0.22,0.10341890497601167
10,10,0.221,0.10364988939633843
10,10,0.222,0.10387894414965401
10,10,0.223,0.10410607217179788
10,10,0.224,0.10433127639471748
10,10,0.225,0.10455455974647573
10,10,0.226,0.10477592515125436
10,10,0.227,0.10499537552935737
10,10,0.228,0.10521291379721634
10,10,0.229,0.10542854286739581
10,10,0.23,0.10564226564859494
10,10,0.231,0.10585408504565538
10,10,0.232,0.10606400395956248
10,10,0.233,0.10627202528745214
10,10,0.234,0.1064781519226132
10,10,0.235,0.10668238675449343
10,10,0.236,0.10688473266870258
10,10,0.237,0.10708519254701787
10,10,0.238,0.10728376926738781
10,10,0.239,0.10748046570393649
10,10,0.24,0.10767528472696836
10,10,0.241,0.10786822920297168
10,10,0.242,0.10805930199462399
10,10,0.243,0.10824850596079605
10,10,0.244,0.10843584395655581
10,10,0.245,0.10862131883317283
10,10,0.246,0.10880493343812292
10,10,0.247,0.10898669061509314
10,10,0.248,0.10916659320398397
10,10,0.249,0.10934464404091598
10,10,0.25,0.10952084595823314
10,10,0.251,0.1096952017845062
10,10,0.252,0.10986771434453946
10,10,0.253,0.11003838645937175
10,10,0.254,0.11020722094628471
10,10,0.255,0.1103742206188032
10,10,0.256,0.11053938828670151
10,10,0.257,0.11070272675600845
10,10,0.258,0.11086423882900948
10,10,0.259,0.11102392730425314
10,10,0.26,0.11118179497655367
10,10,0.261,0.11133784463699592
10,10,0.262,0.1114920790729399
10,10,0.263,0.1116445010680252
10,10,0.264,0.11179511340217418
10,10,0.265,0.1119439188515966
10,10,0.266,0.1120909201887953
10,10,0.267,0.11223612018256834
10,10,0.268,0.11237952159801429
10,10,0.269,0.11252112719653662
10,10,0.27,0.11266093973584829
10,10,0.271,0.11279896196997402
10,10,0.272,0.11293519664925683
10,10,0.273,0.11306964652036094
10,10,0.274,0.11320231432627692
10,10,0.275,0.11333320280632486
10,10,0.276,0.1134623146961587
10,10,0.277,0.1135896527277716
10,10,0.278,0.11371521962949921
10,10,0.279,0.11383901812602365
10,10,0.28,0.11396105093837816
10,10,0.281,0.11408132078395133
10,10,0.282,0.11419983037649073
10,10,0.283,0.11431658242610843
10,10,0.284,0.11443157963928374
10,10,0.285,0.11454482471886712
10,10,0.286,0.11465632036408668
10,10,0.287,0.11476606927054939
10,10,0.288,0.1148740741302478
10,10,0.289,0.11498033763156218
10,10,0.29,0.11508486245926591
10,10,0.291,0.11518765129452929
10,10,0.292,0.11528870681492392
10,10,0.293,0.11538803169442569
10,10,0.294,0.11548562860342143
10,10,0.295,0.11558150020870905
10,10,0.296,0.11567564917350642
10,10,0.297,0.1157680781574521
10,10,0.298,0.11585878981661013
10,10,0.299,0.1159477868034754
10,10,0.3,0.1160350717669758
10,10,0.301,0.11612064735247879
10,10,0.302,0.11620451620179262
10,10,0.303,0.11628668095317302
10,10,0.304,0.11636714424132566
10,10,0.305,0.11644590869741156
10,10,0.306,0.11652297694904928
10,10,0.307,0.1165983516203209
10,10,0.308,0.11667203533177539
10,10,0.309,0.11674403070043216
10,10,0.31,0.11681434033978633
10,10,0.311,0.11688296685981109
10,10,0.312,0.11694991286696377
10,10,0.313,0.11701518096418878
10,10,0.314,0.11707877375092135
10,10,0.315,0.11714069382309206
10,10,0.316,0.11720094377313145
10,10,0.317,0.11725952618997287
10,10,0.318,0.11731644365905747
10,10,0.319,0.11737169876233733
10,10,0.32,0.11742529407828145
10,10,0.321,0.11747723218187678
10,10,0.322,0.11752751564463532
10,10,0.323,0.11757614703459568
10,10,0.324,0.11762312891632826
10,10,0.325,0.11766846385093971
10,10,0.326,0.11771215439607574
10,10,0.327,0.11775420310592638
10,10,0.328,0.11779461253122847
10,10,0.329,0.1178333852192715
10,10,0.33,0.11787052371390039
10,10,0.331,0.11790603055551935
10,10,0.332,0.11793990828109674
10,10,0.333,0.11797215942416811
10,10,0.334,0.11800278651484125
10,10,0.335,0.11803179207979914
10,10,0.336,0.11805917864230475
10,10,0.337,0.11808494872220404
10,10,0.338,0.11810910483593118
10,10,0.339,0.11813164949651145
10,10,0.34,0.11815258521356536
10,10,0.341,0.11817191449331382
10,10,0.342,0.11818963983857977
10,10,0.343,0.11820576374879438
10,10,0.344,0.11822028872000084
10,10,0.345,0.11823321724485536
10,10,0.346,0.11824455181263477
10,10,0.347,0.11825429490923844
10,10,0.348,0.11826244901719413
10,10,0.349,0.1182690166156583
10,10,0.35,0.11827400018042378
10,10,0.351,0.11827740218392208
10,10,0.352,0.11827922509522693
10,10,0.353,0.11827947138005851
10,10,0.354,0.1182781435007878
10,10,0.355,0.11827524391644034
10,10,0.356,0.11827077508269984
10,10,0.357,0.11826473945191157
10,10,0.358,0.11825713947308869
10,10,0.359,0.11824797759191175
10,10,0.36,0.11823725625073706
10,10,0.361,0.1182249778885982
10,10,0.362,0.1182111449412101
10,10,0.363,0.11819575984097325
10,10,0.364,0.1181788250169774
10,10,0.365,0.11816034289500643
10,10,0.366,0.11814031589753998
10,10,0.367,0.11811874644375858
10,10,0.368,0.118095636949549
10,10,0.369,0.11807098982750536
10,10,0.37,0.11804480748693491
10,10,0.371,0.11801709233386048
10,10,0.372,0.11798784677102597
10,10,0.373,0.11795707319789855
10,10,0.374,0.11792477401067364
10,10,0.375,0.11789095160227825
10,10,0.376,0.11785560836237474
10,10,0.377,0.11781874667736447
10,10,0.378,0.11778036893039195
10,10,0.379,0.1177404775013497
10,10,0.38,0.11769907476687996
10,10,0.381,0.11765616310037913
10,10,0.382,0.11761174487200282
10,10,0.383,0.11756582244866842
10,10,0.384,0.11751839819405918
10,10,0.385,0.11746947446862854
10,10,0.386,0.11741905362960214
10,10,0.387,0.11736713803098442
10,10,0.388,0.11731373002356005
10,10,0.389,0.11725883195489883
10,10,0.39,0.1172024461693586
10,10,0.391,0.11714457500809095
10,10,0.392,0.11708522080904171
10,10,0.393,0.11702438590695807
10,10,0.394,0.1169620726333902
10,10,0.395,0.11689828331669538
10,10,0.396,0.11683302028204323
10,10,0.397,0.11676628585141757
10,10,0.398,0.11669808234362034
10,10,0.399,0.11662841207427621
10,10,0.4,0.11655727735583665
10,10,0.401,0.11648468049758165
10,10,0.402,0.11641062380562661
10,10,0.403,0.11633510958292193
10,10,0.404,0.11625814012926128
10,10,0.405,0.11617971774128111
10,10,0.406,0.11609984471246759
10,10,0.407,0.11601852333315904
10,10,0.408,0.11593575589054878
10,10,0.409,0.11585154466869046
10,10,0.41,0.11576589194850001
10,10,0.411,0.11567880000776193
10,10,0.412,0.11559027112112924
10,10,0.413,0.11550030756013191
10,10,0.414,0.1154089115931754
10,10,0.415,0.11531608548554811
10,10,0.416,0.11522183149942383
10,10,0.417,0.11512615189386549
10,10,0.418,0.11502904892482774
10,10,0.419,0.11493052484516247
10,10,0.42,0.11483058190462153
10,10,0.421,0.11472922234986044
10,10,0.422,0.11462644842444186
10,10,0.423,0.11452226236883972
10,10,0.424,0.11441666642044174
10,10,0.425,0.11430966281355565
10,10,0.426,0.11420125377940943
10,10,0.427,0.1140914415461573
10,10,0.428,0.11398022833888294
10,10,0.429,0.11386761637960269
10,10,0.43,0.11375360788726901
10,10,0.431,0.11363820507777472
10,10,0.432,0.11352141016395595
10,10,0.433,0.11340322535559683
10,10,0.434,0.11328365285943204
10,10,0.435,0.11316269487915137
10,10,0.436,0.11304035361540127
10,10,0.437,0.11291663126579093
10,10,0.438,0.11279153002489489
10,10,0.439,0.1126650520842572
10,10,0.44,0.11253719963239256
10,10,0.441,0.11240797485479431
10,10,0.442,0.11227737993393277
10,10,0.443,0.112145417049264
10,10,0.444,0.11201208837722926
10,10,0.445,0.11187739609126085
10,10,0.446,0.11174134236178473
10,10,0.447,0.11160392935622482
10,10,0.448,0.11146515923900618
10,10,0.449,0.11132503417155787
10,10,0.45,0.11118355631231797
10,10,0.451,0.1110407278167363
10,10,0.452,0.1108965508372774
10,10,0.453,0.11075102752342475
10,10,0.454,0.110604160021685
10,10,0.455,0.11045595047558981
10,10,0.456,0.1103064010257006
10,10,0.457,0.11015551380961303
10,10,0.458,0.11000329096195699
10,10,0.459,0.10984973461440367
10,10,0.46,0.10969484689566938
10,10,0.461,0.10953862993151436
10,10,0.462,0.10938108584475165
10,10,0.463,0.10922221675524807
10,10,0.464,0.10906202477992782
10,10,0.465,0.10890051203277623
10,10,0.466,0.10873768062484318
10,10,0.467,0.10857353266424646
10,10,0.468,0.10840807025617621
10,10,0.469,0.10824129550289785
10,10,0.47,0.10807321050375429
10,10,0.471,0.10790381735517085
10,10,0.472,0.10773311815065856
10,10,0.473,0.10756111498081777
10,10,0.474,0.1073878099333413
10,10,0.475,0.10721320509301735
10,10,0.476,0.10703730254173405
10,10,0.477,0.10686010435848214
10,10,0.478,0.10668161261935927
10,10,0.479,0.10650182939757158
10,10,0.48,0.10632075676344077
10,10,0.481,0.10613839678440229
10,10,0.482,0.10595475152501488
10,10,0.483,0.10576982304695792
10,10,0.484,0.10558361340903966
10,10,0.485,0.10539612466719817
10,10,0.486,0.10520735887450594
10,10,0.487,0.10501731808117154
10,10,0.488,0.10482600433454647
10,10,0.489,0.10463341967912376
10,10,0.49,0.1044395661565456
10,10,0.491,0.10424444580560555
10,10,0.492,0.10404806066224992
10,10,0.493,0.10385041275958429
10,10,0.494,0.10365150412787472
10,10,0.495,0.10345133679455187
10,10,0.496,0.10324991278421491
10,10,0.497,0.10304723411863415
10,10,0.498,0.10284330281675447
10,10,0.499,0.10263812089469881
10,10,0.5,0.10243169036577293
10,10,0.501,0.1022240132404647
10,10,0.502,0.10201509152645372
10,10,0.503,0.10180492722860912
10,10,0.504,0.10159352234899566
10,10,0.505,0.1013808788868763
