S,D,c,dc
10,10,0.506,0.10116699883871616
10,10,0.507,0.10095188419818513
10,10,0.508,0.10073553695616155
10,10,0.509,0.10051795910073624
10,10,0.51,0.10029915261721412
10,10,0.511,0.1000791194881202
10,10,0.512,0.09985786169319977
10,10,0.513,0.09963538120942383
10,10,0.514,0.09941168001099321
10,10,0.515,0.0991867600693378
10,10,0.516,0.09896062335312628
10,10,0.517,0.09873327182826241
10,10,0.518,0.09850470745789452
10,10,0.519,0.09827493220241434
10,10,0.52,0.09804394801946359
10,10,0.521,0.09781175686393384
10,10,0.522,0.09757836068797476
10,10,0.523,0.09734376144099033
10,10,0.524,0.09710796106964992
10,10,0.525,0.09687096151788599
10,10,0.526,0.09663276472690052
10,10,0.527,0.09639337263516567
10,10,0.528,0.09615278717842979
10,10,0.529,0.09591101028971893
10,10,0.53,0.09566804389933992
10,10,0.531,0.09542388993488538
10,10,0.532,0.0951785503212359
10,10,0.533,0.09493202698056258
10,10,0.534,0.09468432183233189
10,10,0.535,0.09443543679330757
10,10,0.536,0.0941853737775542
10,10,0.537,0.09393413469644174
10,10,0.538,0.09368172145864706
10,10,0.539,0.0934281359701582
10,10,0.54,0.09317338013427656
10,10,0.541,0.09291745585162159
10,10,0.542,0.09266036502013342
10,10,0.543,0.09240210953507644
10,10,0.544,0.09214269128904029
10,10,0.545,0.09188211217194697
10,10,0.546,0.09162037407105028
10,10,0.547,0.09135747887094214
10,10,0.548,0.09109342845355428
10,10,0.549,0.09082822469816088
10,10,0.55,0.09056186948138256
10,10,0.551,0.09029436467719165
10,10,0.552,0.09002571215691024
10,10,0.553,0.08975591378921788
10,10,0.554,0.08948497144015433
10,10,0.555,0.08921288697312013
10,10,0.556,0.08893966224888228
10,10,0.557,0.08866529912557797
10,10,0.558,0.08838979945871295
10,10,0.559,0.0881131651011714
10,10,0.56,0.08783539790321493
10,10,0.561,0.08755649971248669
10,10,0.562,0.08727647237401415
10,10,0.563,0.0869953177302133
10,10,0.564,0.08671303762089144
10,10,0.565,0.08642963388324909
10,10,0.566,0.0861451083518856
10,10,0.567,0.0858594628587992
10,10,0.568,0.0855726992333945
10,10,0.569,0.085284819302481
10,10,0.57,0.08499582489027802
10,10,0.571,0.08470571781841985
10,10,0.572,0.08441449990595562
10,10,0.573,0.08412217296935487
10,10,0.574,0.08382873882250919
10,10,0.575,0.08353419927673622
10,10,0.576,0.08323855614078324
10,10,0.577,0.08294181122082844
10,10,0.578,0.08264396632048554
10,10,0.579,0.08234502324080673
10,10,0.58,0.08204498378028591
10,10,0.581,0.08174384973486148
10,10,0.582,0.08144162289791868
10,10,0.583,0.08113830506029385
10,10,0.584,0.08083389801027874
10,10,0.585,0.08052840353361879
10,10,0.586,0.08022182341352369
10,10,0.587,0.07991415943066305
10,10,0.588,0.07960541336317406
10,10,0.589,0.0792955869866635
10,10,0.59,0.07898468207420928
10,10,0.591,0.0786727003963672
10,10,0.592,0.0783596437211691
10,10,0.593,0.07804551381412972
10,10,0.594,0.07773031243824957
10,10,0.595,0.07741404135401542
10,10,0.596,0.0770967023194058
10,10,0.597,0.07677829708989292
10,10,0.598,0.07645882741844623
10,10,0.599,0.07613829505553482
10,10,0.6,0.07581670174913258
10,10,0.601,0.07549404924471714
10,10,0.602,0.07517033928527783
10,10,0.603,0.07484557361131394
10,10,0.604,0.07451975396084243
10,10,0.605,0.07419288206939745
10,10,0.606,0.07386495967003481
10,10,0.607,0.07353598849333498
10,10,0.608,0.07320597026740516
10,10,0.609,0.07287490671788466
10,10,0.61,0.07254279956794452
10,10,0.611,0.07220965053829476
10,10,0.612,0.07187546134718215
10,10,0.613,0.07154023371039864
10,10,0.614,0.07120396934128026
10,10,0.615,0.07086666995071234
10,10,0.616,0.07052833724713181
10,10,0.617,0.07018897293653026
10,10,0.618,0.06984857872245731
10,10,0.619,0.06950715630602256
10,10,0.62,0.06916470738589986
10,10,0.621,0.06882123365832893
10,10,0.622,0.06847673681712119
10,10,0.623,0.06813121855365845
10,10,0.624,0.06778468055689868
10,10,0.625,0.06743712451337902
10,10,0.626,0.06708855210721831
10,10,0.627,0.06673896502011956
10,10,0.628,0.06638836493137357
10,10,0.629,0.06603675351786087
10,10,0.63,0.06568413245405658
10,10,0.631,0.0653305034120314
10,10,0.632,0.06497586806145639
10,10,0.633,0.06462022806960377
10,10,0.634,0.06426358510135188
10,10,0.635,0.06390594081918688
10,10,0.636,0.06354729688320604
10,10,0.637,0.06318765495112244
10,10,0.638,0.06282701667826351
10,10,0.639,0.06246538371757826
10,10,0.64,0.0621027577196388
10,10,0.641,0.06173914033264294
10,10,0.642,0.0613745332024167
10,10,0.643,0.06100893797241824
10,10,0.644,0.060642356283741816
10,10,0.645,0.06027478977511613
10,10,0.646,0.05990624008291312
10,10,0.647,0.059536708841147146
10,10,0.648,0.059166197681478794
10,10,0.649,0.058794708233218085
10,10,0.65,0.05842224212332747
10,10,0.651,0.058048800976424175
10,10,0.652,0.05767438641478295
10,10,0.653,0.057299000058339766
10,10,0.654,0.05692264352469523
10,10,0.655,0.056545318429114366
10,10,0.656,0.0561670263845333
10,10,0.657,0.05578776900156068
10,10,0.658,0.055407547888480124
10,10,0.659,0.055026364651253434
10,10,0.66,0.05464422089352272
10,10,0.661,0.054261118216615056
10,10,0.662,0.053877058219543694
10,10,0.663,0.05349204249901163
10,10,0.664,0.05310607264941458
10,10,0.665,0.05271915026284257
10,10,0.666,0.05233127692908657
10,10,0.667,0.05194245423563448
10,10,0.668,0.05155268376768207
10,10,0.669,0.05116196710812948
10,10,0.67,0.05077030583758679
10,10,0.671,0.050377701534378594
10,10,0.672,0.04998415577454174
10,10,0.673,0.04958967013183202
10,10,0.674,0.049194246177728274
10,10,0.675,0.04879788548143127
10,10,0.676,0.04840058960986893
10,10,0.677,0.048002360127697874
10,10,0.678,0.04760319859730766
10,10,0.679,0.04720310657882354
10,10,0.68,0.04680208563010757
10,10,0.681,0.04640013730676318
10,10,0.682,0.04599726316213759
10,10,0.683,0.04559346474732284
10,10,0.684,0.045188743611161986
10,10,0.685,0.04478310130024943
10,10,0.686,0.04437653935893349
10,10,0.687,0.04396905932932116
10,10,0.688,0.04356066275127923
10,10,0.689,0.04315135116243818
10,10,0.69,0.042741126098192694
10,10,0.691,0.042329989091708264
10,10,0.692,0.041917941673921155
10,10,0.693,0.04150498537354097
10,10,0.694,0.04109112171705531
10,10,0.695,0.040676352228732116
10,10,0.696,0.04026067843061998
10,10,0.697,0.03984410184255527
10,10,0.698,0.039426623982160125
10,10,0.699,0.0390082463648489
10,10,0.7,0.03858897050382959
10,10,0.701,0.03816879791010663
10,10,0.702,0.03774773009248211
10,10,0.703,0.03732576855756198
10,10,0.704,0.03690291480975605
10,10,0.705,0.0364791703512809
10,10,0.706,0.03605453668216352
10,10,0.707,0.03562901530024576
10,10,0.708,0.03520260770118144
10,10,0.709,0.034775315378445026
10,10,0.71,0.03434713982333204
10,10,0.711,0.033918082524961535
10,10,0.712,0.033488144970277745
10,10,0.713,0.03305732864405553
10,10,0.714,0.032625635028902145
10,10,0.715,0.032193065605258364
10,10,0.716,0.03175962185140302
10,10,0.717,0.03132530524345423
10,10,0.718,0.030890117255373606
10,10,0.719,0.03045405935896861
10,10,0.72,0.030017133023893194
10,10,0.721,0.02957933971765414
10,10,0.722,0.029140680905610505
10,10,0.723,0.028701158050978837
10,10,0.724,0.028260772614834062
10,10,0.725,0.02781952605611182
10,10,0.726,0.027377419831613015
10,10,0.727,0.026934455396006585
10,10,0.728,0.026490634201828844
10,10,0.729,0.026045957699490585
10,10,0.73,0.02560042733727641
10,10,0.731,0.025154044561348732
10,10,0.732,0.024706810815751656
10,10,0.733,0.024258727542410652
10,10,0.734,0.02380979618113732
10,10,0.735,0.023360018169632624
10,10,0.736,0.022909394943487538
10,10,0.737,0.022457927936186506
10,10,0.738,0.022005618579111763
10,10,0.739,0.02155246830154356
10,10,0.74,0.021098478530663267
10,10,0.741,0.020643650691556936
10,10,0.742,0.02018798620721829
10,10,0.743,0.019731486498549944
10,10,0.744,0.01927415298436619
10,10,0.745,0.018815987081397756
10,10,0.746,0.018356990204290602
10,10,0.747,0.017897163765612345
10,10,0.748,0.01743650917585393
10,10,0.749,0.016975027843428747
10,10,0.75,0.016512721174681277
10,10,0.751,0.016049590573884
10,10,0.752,0.01558563744324526
10,10,0.753,0.015120863182906508
10,10,0.754,0.014655269190948839
10,10,0.755,0.014188856863394883
10,10,0.756,0.013721627594210029
10,10,0.757,0.013253582775304973
10,10,0.758,0.012784723796541497
10,10,0.759,0.012315052045731134
10,10,0.76,0.011844568908639164
10,10,0.761,0.011373275768988722
10,10,0.762,0.010901174008460912
10,10,0.763,0.010428265006699022
10,10,0.764,0.009954550141310525
10,10,0.765,0.009480030787869631
10,10,0.766,0.009004708319920063
10,10,0.767,0.00852858410897861
10,10,0.768,0.008051659524535015
10,10,0.769,0.0075739359340567525
10,10,0.77,0.007095414702991132
10,10,0.771,0.006616097194767745
10,10,0.772,0.006135984770801128
10,10,0.773,0.005655078790492762
10,10,0.774,0.005173380611234846
10,10,0.775,0.0046908915884112945
10,10,0.776,0.004207613075401295
10,10,0.777,0.003723546423581303
10,10,0.778,0.0032386929823283728
10,10,0.779,0.0027530540990228225
10,10,0.78,0.0022666311190483457
10,10,0.781,0.001779425385798894
10,10,0.782,0.0012914382406752356
10,10,0.783,0.0008026710230949474
10,10,0.784,0.00031312507048730787
10,10,0.785,-0.00017719828169859841
10,10,0.786,-0.0006682976999929924
10,10,0.787,-0.0011601718529047345
10,10,0.788,-0.0016528194109166616
10,10,0.789,-0.00214623904648259
10,10,0.79,-0.002640429434027869
10,10,0.791,-0.003135389249943832
10,10,0.792,-0.003631117172585685
10,10,0.793,-0.0041276118822733965
10,10,0.794,-0.004624872061282925
10,10,0.795,-0.005122896393849441
10,10,0.796,-0.005621683566162883
10,10,0.797,-0.006121232266364851
10,10,0.798,-0.0066215411845452765
10,10,0.799,-0.007122609012744308
10,10,0.8,-0.007624434444943096
10,10,0.801,-0.00812701617706768
10,10,0.802,-0.008630352906982552
10,10,0.803,-0.009134443334489317
10,10,0.804,-0.009639286161325256
10,10,0.805,-0.010144880091159103
10,10,0.806,-0.010651223829589496
10,10,0.807,-0.011158316084142528
10,10,0.808,-0.01166615556426942
10,10,0.809,-0.012174740981343413
10,10,0.81,-0.012684071048657874
10,10,0.811,-0.013194144481424086
10,10,0.812,-0.013704959996767019
10,10,0.813,-0.014216516313726557
10,10,0.814,-0.014728812153250281
10,10,0.815,-0.0152418462381948
10,10,0.816,-0.0157556172933222
10,10,0.817,-0.016270124045296708
10,10,0.818,-0.016785365222683146
10,10,0.819,-0.017301339555944817
10,10,0.82,-0.01781804577743984
10,10,0.821,-0.01833548262142015
10,10,0.822,-0.01885364882402696
10,10,0.823,-0.019372543123292174
10,10,0.824,-0.019892164259131317
10,10,0.825,-0.02041251097334451
10,10,0.826,-0.02093358200961193
10,10,0.827,-0.021455376113493796
10,10,0.828,-0.021977892032425173
10,10,0.829,-0.022501128515715174
10,10,0.83,-0.02302508431454464
10,10,0.831,-0.023549758181964142
10,10,0.832,-0.02407514887288864
10,10,0.833,-0.024601255144099388
10,10,0.834,-0.025128075754238588
10,10,0.835,-0.025655609463807627
10,10,0.836,-0.026183855035165182
10,10,0.837,-0.026712811232524447
10,10,0.838,-0.027242476821951023
10,10,0.839,-0.02777285057136014
10,10,0.84,-0.02830393125051478
10,10,0.841,-0.028835717631022106
10,10,0.842,-0.029368208486334146
10,10,0.843,-0.029901402591740678
10,10,0.844,-0.030435298724370674
10,10,0.845,-0.030969895663189195
10,10,0.846,-0.031505192188993836
10,10,0.847,-0.03204118708441328
10,10,0.848,-0.03257787913390442
10,10,0.849,-0.033115267123751346
10,10,0.85,-0.03365334984206081
10,10,0.851,-0.03419212607876154
10,10,0.852,-0.03473159462560116
10,10,0.853,-0.035271754276144596
10,10,0.854,-0.03581260382577112
10,10,0.855,-0.03635414207167087
10,10,0.856,-0.03689636781284589
10,10,0.857,-0.0374392798501032
10,10,0.858,-0.03798287698605696
10,10,0.859,-0.038527158025123076
10,10,0.86,-0.03907212177351804
10,10,0.861,-0.039617767039256346
10,10,0.862,-0.040164092632148374
10,10,0.863,-0.040711097363798854
10,10,0.864,-0.04125878004760164
10,10,0.865,-0.04180713949874082
10,10,0.866,-0.04235617453418716
10,10,0.867,-0.04290588397269368
10,10,0.868,-0.04345626663479907
10,10,0.869,-0.04400732134281771
10,10,0.87,-0.044559046920843004
10,10,0.871,-0.04511144219474361
10,10,0.872,-0.045664505992159876
10,10,0.873,-0.046218237142503504
10,10,0.874,-0.046772634476953345
10,10,0.875,-0.04732769682845528
10,10,0.876,-0.047883423031717554
10,10,0.877,-0.04843981192321023
10,10,0.878,-0.048996862341161185
10,10,0.879,-0.04955457312555733
10,10,0.88,-0.05011294311813741
10,10,0.881,-0.05067197116239386
10,10,0.882,-0.05123165610356828
10,10,0.883,-0.05179199678865043
10,10,0.884,-0.052352992066374116
10,10,0.885,-0.05291464078721786
10,10,0.886,-0.053476941803399236
10,10,0.887,-0.05403989396887565
10,10,0.888,-0.054603496139340235
10,10,0.889,-0.05516774717221962
10,10,0.89,-0.05573264592667326
10,10,0.891,-0.05629819126358848
10,10,0.892,-0.056864382045581974
10,10,0.893,-0.05743121713699395
10,10,0.894,-0.057998695403887024
10,10,0.895,-0.058566815714045206
10,10,0.896,-0.059135576936971024
10,10,0.897,-0.05970497794388152
10,10,0.898,-0.06027501760770915
10,10,0.899,-0.060845694803097206
10,10,0.9,-0.061417008406397966
10,10,0.901,-0.06198895729567122
10,10,0.902,-0.06256154035068151
10,10,0.903,-0.06313475645289657
10,10,0.904,-0.06370860448548366
10,10,0.905,-0.06428308333330823
10,10,0.906,-0.06485819188293285
10,10,0.907,-0.06543392902261269
10,10,0.908,-0.06601029364229549
10,10,0.909,-0.06658728463361696
10,10,0.91,-0.06716490088990124
10,10,0.911,-0.06774314130615722
10,10,0.912,-0.06832200477907568
10,10,0.913,-0.06890149020702885
10,10,0.914,-0.06948159649006747
10,10,0.915,-0.07006232252991729
10,10,0.916,-0.07064366722997895
10,10,0.917,-0.07122562949532485
10,10,0.918,-0.0718082082326964
10,10,0.919,-0.07239140235050301
10,10,0.92,-0.07297521075881941
10,10,0.921,-0.07355963236938257
10,10,0.922,-0.074144666095591
10,10,0.923,-0.07473031085250148
10,10,0.924,-0.07531656555682842
10,10,0.925,-0.07590342912693848
10,10,0.926,-0.07649090048285279
10,10,0.927,-0.07707897854624068
10,10,0.928,-0.07766766224042077
10,10,0.929,-0.0782569504903563
10,10,0.93,-0.07884684222265459
10,10,0.931,-0.07943733636556405
10,10,0.932,-0.08002843184897313
10,10,0.933,-0.08062012760440607
10,10,0.934,-0.0812124225650227
10,10,0.935,-0.08180531566561566
10,10,0.936,-0.08239880584260872
10,10,0.937,-0.08299289203405258
10,10,0.938,-0.0835875731796265
10,10,0.939,-0.08418284822063216
10,10,0.94,-0.08477871609999399
10,10,0.941,-0.08537517576225617
10,10,0.942,-0.08597222615358135
10,10,0.943,-0.08656986622174723
10,10,0.944,-0.08716809491614474
10,10,0.945,-0.0877669111877778
10,10,0.946,-0.08836631398925776
10,10,0.947,-0.08896630227480429
10,10,0.948,-0.08956687500024207
10,10,0.949,-0.0901680311229982
10,10,0.95,-0.0907697696021017
10,10,0.951,-0.0913720893981792
10,10,0.952,-0.0919749894734545
10,10,0.953,-0.09257846879174625
10,10,0.954,-0.09318252631846491
10,10,0.955,-0.09378716102061158
10,10,0.956,-0.09439237186677585
10,10,0.957,-0.09499815782713317
10,10,0.958,-0.09560451787344326
10,10,0.959,-0.09621145097904737
10,10,0.96,-0.09681895611886704
10,10,0.961,-0.09742703226940164
10,10,0.962,-0.09803567840872596
10,10,0.963,-0.09864489351648864
10,10,0.964,-0.09925467657391007
10,10,0.965,-0.0998650265637796
10,10,0.966,-0.10047594247045388
10,10,0.967,-0.10108742327985587
10,10,0.968,-0.10169946797947116
10,10,0.969,-0.10231207555834554
10,10,0.97,-0.10292524500708633
10,10,0.971,-0.10353897531785539
10,10,0.972,-0.1041532654843712
10,10,0.973,-0.10476811450190471
10,10,0.974,-0.10538352136727758
10,10,0.975,-0.10599948507886037
10,10,0.976,-0.10661600463657062
10,10,0.977,-0.1072330790418704
10,10,0.978,-0.10785070729776502
10,10,0.979,-0.10846888840879909
10,10,0.98,-0.10908762138105699
10,10,0.981,-0.10970690522215987
10,10,0.982,-0.11032673894126233
10,10,0.983,-0.11094712154905217
10,10,0.984,-0.11156805205774756
10,10,0.985,-0.11218952948109451
10,10,0.986,-0.11281155283436661
10,10,0.987,-0.11343412113436047
10,10,0.988,-0.11405723339939633
10,10,0.989,-0.11468088864931314
10,10,0.99,-0.11530508590547006
10,10,0.991,-0.11592982419074116
10,10,0.992,-0.11655510252951506
10,10,0.993,-0.11718091994769264
10,10,0.994,-0.11780727547268566
10,10,0.995,-0.11843416813341257
10,10,0.996,-0.11906159696030016
10,10,0.997,-0.11968956098527739
10,10,0.998,-0.12031805924177685
10,10,0.999,-0.12094709076473054
10,10,1.0,-0.12157665459056932
